title,price,prod_rating,rating_count,discount,seller_rating
"realme 10 (Clash White, 64 GB)  (4 GB RAM)","₹11,999",4.3,"11,904",25%,5
"POCO X5 5G (Supernova Green, 128 GB)  (6 GB RAM)","₹15,999",4.1,"8,513",23%,4.9
"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)  (4 GB RAM)","₹10,999",4.3,"1,53,895",26%,4.9
"realme Narzo N55 (Prime Blue, 128 GB)  (6 GB RAM)","₹13,404",4.3,562,10%,4.4
LAVA Hero 600i  (Sapphire Blue),₹899,4,911,25%,4.9
"REDMI A1+ (Light Green, 32 GB)  (2 GB RAM)","₹6,299",4.2,"6,537",37%,4.9
"POCO X5 5G (Jaguar Black, 256 GB)  (8 GB RAM)","₹17,999",4.1,"2,973",25%,5
"Infinix NOTE 12i (Alpine White, 64 GB)  (4 GB RAM)","₹9,999",4.2,"6,359",23%,4.9
"POCO M5 (Yellow, 128 GB)  (6 GB RAM)","₹10,999",4.2,"3,950",42%,5
"realme 10 (Rush Black, 128 GB)  (8 GB RAM)","₹15,499",4.3,"5,125",22%,5
Nokia 150 DS 2020  (Cyan),"₹2,615",4.1,"23,569",12%,4.8
"POCO X5 Pro 5G (Astral Black, 256 GB)  (8 GB RAM)","₹23,999",4.3,"8,229",17%,5
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)  (4 GB RAM)","₹13,490",4.2,"7,002",22%,4.9
"realme C30 (Bamboo Green, 32 GB)  (2 GB RAM)","₹5,999",4.2,"1,05,022",29%,5
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)  (8 GB RAM)","₹21,949",4.3,"5,908",,4.7
SAMSUNG GT-E1215ZKAINS  (Black),"₹1,150",4.3,"64,662",,
"realme C30 (Lake Blue, 32 GB)  (2 GB RAM)","₹5,999",4.2,"1,05,022",29%,4.9
Nokia 105 TA-1473 SS  (Charcoal),"₹1,599",4.2,"25,445",,4.9
LAVA A3  (DARK BLUE GREY DS PA),"₹1,275",4.2,"28,471",8%,4.9
"Infinix NOTE 12i (Metaverse Blue, 64 GB)  (4 GB RAM)","₹9,999",4.2,"6,359",23%,4.9
Nokia 150 DS 2020  (Cyan),"₹2,615",4.1,"23,569",12%,4.8
"realme 8i (Space Black, 64 GB)  (4 GB RAM)","₹11,499",4.5,"1,74,437",28%,4.9
LAVA Hero 600i  (Blue),₹899,4,911,25%,4.9
"SAMSUNG Galaxy F13 (Nightsky Green, 128 GB)  (4 GB RAM)","₹11,999",4.3,"1,53,895",29%,4.9
Micromax X512  (Blue),"₹1,083",4,837,39%,4.6
"POCO X5 5G (Wildcat Blue, 256 GB)  (8 GB RAM)","₹17,999",4.1,"2,973",25%,5
"APPLE iPhone 14 (Starlight, 128 GB)","₹69,999",4.6,"38,279",12%,5
"realme GT 2 (Paper White, 128 GB)  (8 GB RAM)","₹23,999",4.3,"10,142",40%,4.9
"realme GT 2 (Steel Black, 128 GB)  (8 GB RAM)","₹23,999",4.3,"10,142",40%,4.9
"SAMSUNG Galaxy F13 (Sunrise Copper, 128 GB)  (4 GB RAM)","₹11,999",4.3,"1,53,895",29%,4.9
"POCO M4 5G (Yellow, 64 GB)  (4 GB RAM)","₹11,999",4.2,"79,482",25%,5
"realme 10 Pro 5G (Dark Matter, 128 GB)  (8 GB RAM)","₹19,999",4.3,"19,487",13%,4.9
"realme 10 Pro 5G (Nebula Blue, 128 GB)  (6 GB RAM)","₹18,999",4.3,"26,570",9%,4.9
A10E  (Rose Gold),"₹1,299",4.1,393,10%,4.9
A10E  (Dark Blue),"₹1,299",4.1,393,10%,4.9
"Google Pixel 6a (Chalk, 128 GB)  (6 GB RAM)","₹28,999",4.3,"47,692",34%,4.9
"Infinix NOTE 12i (Force Black, 64 GB)  (4 GB RAM)","₹9,999",4.2,"6,359",23%,4.9
"Google Pixel 6a (Charcoal, 128 GB)  (6 GB RAM)","₹28,999",4.3,"47,692",34%,4.9
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)  (4 GB RAM)","₹8,499",4.2,"27,868",26%,4.9
"SAMSUNG Galaxy M04 (Light Green, 64 GB)  (4 GB RAM)","₹7,990",4.1,"3,209",30%,4.8
"realme 10 Pro 5G (Dark Matter, 128 GB)  (6 GB RAM)","₹18,999",4.3,"26,570",9%,4.9
"realme 10 Pro 5G (Nebula Blue, 128 GB)  (8 GB RAM)","₹19,999",4.3,"19,487",13%,4.9
"realme 10 Pro 5G (Hyperspace, 128 GB)  (8 GB RAM)","₹19,999",4.3,"19,487",13%,4.9
"realme 10 Pro 5G (Hyperspace, 128 GB)  (6 GB RAM)","₹18,999",4.3,"26,570",9%,4.9
"realme C31 (Light Silver, 32 GB)  (3 GB RAM)","₹8,049",4.5,"48,147",26%,4.9
Nokia 105 ss  (Black),"₹1,549",4.3,"79,498",3%,3.5
"APPLE iPhone 14 (Purple, 128 GB)","₹69,999",4.6,"38,279",12%,5
"realme C31 (Dark Green, 32 GB)  (3 GB RAM)","₹8,049",4.5,"48,147",26%,5
SAMSUNG Guru Music 2  (Black),"₹2,490",4.3,"2,06,200",,3.5
"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)  (4 GB RAM)","₹10,999",4.3,"1,53,895",26%,4.9
DIZO Star 500  (Silver),"₹1,735",4,"14,238",13%,4.5
"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)  (6 GB RAM)","₹16,999",4.3,"1,95,602",29%,4.9
"realme Narzo 30 (Racing Blue, 128 GB)  (6 GB RAM)","₹12,499",4.3,"77,466",26%,5
"OnePlus 11R 5G (Galactic Silver, 128 GB)  (8 GB RAM)","₹39,794",4.5,"3,304",,4.8
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)  (6 GB RAM)","₹14,490",4.2,"17,115",21%,4.9
"REDMI 11 Prime (Flashy Black, 128 GB)  (6 GB RAM)","₹11,999",4.2,734,29%,4.9
Nokia 150 DS 2020  (Red),"₹2,615",4.1,"23,569",12%,4.8
DIZO Star 500  (Black),"₹1,650",4,"14,238",17%,4.5
"OnePlus 11R 5G (Galactic Silver, 256 GB)  (16 GB RAM)","₹44,698",4.5,"2,658",,4.5
"REDMI Note 12 (Sunrise Gold, 64 GB)  (6 GB RAM)","₹14,999",4.1,"5,928",21%,4.9
"realme C31 (Light Silver, 64 GB)  (4 GB RAM)","₹8,749",4.4,"65,537",27%,4.8
